City,Location,Layer,synonyms
Delhi,Sarai Kale Khan ISBT,Transport,"SKKI, SaraiKaleKhanISBT, Saray Kala Khan ySBT"
Delhi,Kashmiri Gate ISBT (Maharana Pratap),Transport,"KashmiriGateISBT(MaharanaPratap), KGI(P, Kashmyry Gata ySBT (Maharana Pratap)"
Delhi,New Delhi Railway Station,Transport,"Naw Dalhy Raylway Statyon, NDRS, NewDelhiRailwayStation"
Delhi,Old Delhi Railway Station,Transport,"ODRS, old Dalhy Raylway Statyon, OldDelhiRailwayStation"
Delhi,Delhi Sarai Rohilla,Transport,"DSR, Dalhy Saray Rohylla, DelhiSaraiRohilla"
Delhi,Delhi Cantt Railway Station,Transport,"DCRS, DelhiCanttRailwayStation, Dalhy Cantt Raylway Statyon"
Delhi,Anand Vihar Railway Station,Transport,"AVRS, anand Vyhar Raylway Statyon, AnandViharRailwayStation"
Delhi,Kaushambi bus stand (ISBT Anand Vihar),Transport,"Kbs(AV, Kaushambibusstand(ISBTAnandVihar), Kaoshamby bos stand (ySBT anand Vyhar)"
Delhi,Dhaula Kuan Bus Stand,Transport,"DKBS, Dhaola Koan Bos Stand, DhaulaKuanBusStand"
Delhi,"Jama Masjid, Delhi",Spiritual sites,"Jama Masjid, JMD, Jama Masjyd, Dalhy, JamaMasjid,Delhi"
Delhi,Akshardham temple,Spiritual sites,"akshardham tampla, At, Akshardhamtemple"
Delhi,Dargah Nizamuddin Aulia,Spiritual sites,"DNA, DargahNizamuddinAulia, Dargah Nyzamoddyn aolya"
Delhi,Lotus Temple,Spiritual sites,"LT, LotusTemple, Lotos Tampla"
Delhi,ISKCON Temple,Spiritual sites,"ISKCONTemple, IT, ySKCoN Tampla"
Delhi,Hanuman Mandir Karol bagh,Spiritual sites,"HanumanMandirKarolbagh, Hanoman Mandyr Karol bagh, HMKb"
Delhi,Gurudwara Sri Bangla Sahib,Spiritual sites,"GSBS, Gorodwara Sry Bangla Sahyb, GurudwaraSriBanglaSahib"
Delhi,Shri Laxmi Narayan Temple (Birla Mandir),Spiritual sites,"Shry Laxmy Narayan Tampla (Byrla Mandyr), SLNT(M, ShriLaxmiNarayanTemple(BirlaMandir)"
Delhi,Chattarpur Mandir,Spiritual sites,"Chattarpor Mandyr, CM, ChattarpurMandir"
Delhi,Tibetan Monastery (Majnu ka tila),Spiritual sites,"TM(kt, TibetanMonastery(Majnukatila), Tybatan Monastary (Majno ka tyla)"
Delhi,"National Science Centre, Delhi",Art and museum,"Natyonal Scyanca Cantra, Dalhy, NationalScienceCentre,Delhi, NSCD"
Delhi,National Crafts Museum & Hastkala Academy,Art and museum,"NCM&HA, NationalCraftsMuseum&HastkalaAcademy, Natyonal Crafts Mosaom & Hastkala acadamy"
Delhi,Shankar's International Dolls Museum,Art and museum,"Shankar'sInternationalDollsMuseum, SIDM, Shankar's yntarnatyonal Dolls Mosaom"
Delhi,"National Museum, New Delhi",Art and museum,"NMND, Natyonal Mosaom, Naw Dalhy, NationalMuseum,NewDelhi"
Delhi,National Rail Museum,Art and museum,"NationalRailMuseum, NRM, Natyonal Rayl Mosaom"
Delhi,Sulabh International Museum Of Toilets,Art and museum,"SulabhInternationalMuseumOfToilets, Solabh yntarnatyonal Mosaom of Toylats, SIMOT"
Delhi,Sanskriti Kendra,Art and museum,"SanskritiKendra, SK, Sanskryty Kandra"
Delhi,"Indira Gandhi Memorial Museum, Delhi",Art and museum,"yndyra Gandhy Mamoryal Mosaom, Dalhy, IGMMD, IndiraGandhiMemorialMuseum,Delhi"
Delhi,Nehru Planetarium,Art and museum,"NP, NehruPlanetarium, Nahro Planataryom"
Delhi,Prime minister Museum & Library,Art and museum,"Pryma mynystar Mosaom & Lybrary, PrimeministerMuseum&Library, PmM&L"
Delhi,Museum of Illusions,Art and museum,"MoI, MuseumofIllusions, Mosaom of yllosyons"
Delhi,National Zoological Park,Nature and park,"NationalZoologicalPark, NZP, Natyonal Zoologycal Park"
Delhi,Okhla Bird Sanctuary,Nature and park,"okhla Byrd Sanctoary, OBS, OkhlaBirdSanctuary"
Delhi,Central Ridge Forest,Nature and park,"Cantral Rydga Forast, CentralRidgeForest, CRF"
Delhi,Lodhi Garden,Nature and park,"LodhiGarden, LG, Lodhy Gardan"
Delhi,Sanjay Van,Nature and park,"SV, SanjayVan"
Delhi,The Garden of Five Senses,Nature and park,"TGoFS, TheGardenofFiveSenses, Tha Gardan of Fyva Sansas"
Delhi,Indraprastha Park,Nature and park,"IndraprasthaPark, IP, yndraprastha Park"
Delhi,Nehru Park,Nature and park,"NehruPark, Nahro Park, NP"
Delhi,Connaught Place,"Shopping, food & nightlife","CP, Connaoght Placa, ConnaughtPlace"
Delhi,Waste to wonder,Nature and park,"Wasta to wondar, Wastetowonder, Wtw"
Delhi,Jagannath mandir delhi,Spriritual sites,"Jagannathmandirdelhi, Jmd, Jagannath mandyr dalhy"
Delhi,Vasudev Ghat Yamuna aarti,Spiritual sites,"VasudevGhatYamunaaarti, Vasodav Ghat Yamona aarty, VGYa"
Delhi,Sunder Nursery,Nature and park,"Sondar Norsary, SunderNursery, SN"
Goa,Calangute Beach,Beaches & other water body,"Calangota Baach, CB, CalanguteBeach"
Goa,Baga Beach,Beaches & other water body,"BagaBeach, Baga Baach, BB"
Goa,Anjuna Beach,Beaches & other water body,"AnjunaBeach, AB, anjona Baach"
Goa,Vagator Beach,Beaches & other water body,"VB, VagatorBeach, Vagator Baach"
Goa,Morjim Beach,Beaches & other water body,"Morjym Baach, MorjimBeach, MB"
Goa,Goa,Beaches & other water body,
Goa,Colva Beach,Beaches & other water body,"ColvaBeach, CB, Colva Baach"
Goa,Palolem Beach,Beaches & other water body,"PB, PalolemBeach, Palolam Baach"
Goa,Dudhsagar Falls,Beaches & other water body,"DF, DudhsagarFalls, Dodhsagar Falls"
Goa,Harvalem Waterfalls,Beaches & other water body,"HarvalemWaterfalls, HW, Harvalam Watarfalls"
Goa,Dolphin point,Beaches & other water body,"Dp, Dolphinpoint, Dolphyn poynt"
Goa,Salaulim Dam,Beaches & other water body,"SalaulimDam, Salaolym Dam, SD"
Goa,Mandovi River,Beaches & other water body,"MandoviRiver, MR, Mandovy Ryvar"
Goa,Zuari River,Beaches & other water body,"ZuariRiver, ZR, Zoary Ryvar"
Goa,Chapora river,Beaches & other water body,"Chaporariver, Cr, Chapora ryvar"
Goa,Madgaon Junction,Transport,"MadgaonJunction, MJ, Madgaon Jonctyon"
Goa,Thivim Railway Station,Transport,"ThivimRailwayStation, Thyvym Raylway Statyon, TRS"
Goa,Vasco da Gama Railway Station,Transport,"VdGRS, Vasco da Gama Raylway Statyon, VascodaGamaRailwayStation"
Goa,Karmali Railway Station,Transport,"KarmaliRailwayStation, Karmaly Raylway Statyon, KRS"
Goa,Panaji Bus Stand,Transport,"PBS, Panjim Bus Stand, PanajiBusStand, Panajy Bos Stand"
Goa,Mapusa Bus Stand,Transport,"MapusaBusStand, Maposa Bos Stand, MBS"
Goa,Margao Bus Stand,Transport,"MBS, MargaoBusStand, Margao Bos Stand"
Goa,Dabolim Airport (Goa International Airport),Transport,"DabolimAirport(GoaInternationalAirport), Dabolym ayrport (Goa yntarnatyonal ayrport), DA(IA"
Goa,Mopa Airport (Manohar International Airport),Transport,"MopaAirport(ManoharInternationalAirport), MA(IA, Mopa ayrport (Manohar yntarnatyonal ayrport)"
Goa,Chapora Fort,Fort,"ChaporaFort, CF"
Goa,Aguada Fort,Fort,"AguadaFort, AF, agoada Fort"
Goa,Reis Magos Fort,Fort,"Rays Magos Fort, ReisMagosFort, RMF"
Goa,Cabo de Rama Fort,Fort,"CdRF, Cabo da Rama Fort, CabodeRamaFort"
Goa,Museum Of Goa,Art and museum,"MuseumOfGoa, MOG, Mosaom of Goa"
Goa,Goa Chitra Museum,Art and museum,"GCM, GoaChitraMuseum, Goa Chytra Mosaom"
Goa,Archaeological Museum of Goa,Art and museum,"ArchaeologicalMuseumofGoa, archaaologycal Mosaom of Goa, AMoG"
Goa,Indian Naval Aviation Museum,Art and museum,"IndianNavalAviationMuseum, INAM, yndyan Naval avyatyon Mosaom"
Goa,Goa State Museum,Art and museum,"GSM, GoaStateMuseum, Goa Stata Mosaom"
Goa,Anjuna flea market,Night life,"Anjunafleamarket, anjona flaa markat, Afm"
Goa,Tito's Lane,Night life,"TL, Tyto's Lana, Tito'sLane"
Goa,Casino on cruise,Night life,"Coc, Casinooncruise, Casyno on croysa"
Goa,Immaculate Conception Church,Spiritual sites,"ymmacolata Concaptyon Chorch, ImmaculateConceptionChurch, ICC"
Goa,Basilica of Bom Jesus,Spiritual sites,"BoBJ, Basylyca of Bom Jasos, BasilicaofBomJesus"
Goa,Church of St. Francis of Assisi,Spiritual sites,"CoSFoA, ChurchofSt.FrancisofAssisi, Chorch of St. Francys of assysy,  Se Cathedral & Church of St. Francis of Assisi"
Goa,Se Cathedral,Spiritual sites,"SeCathedral, SC, Sa Cathadral"
Goa,Shree Mangesh temple,Spiritual sites,"ShreeMangeshtemple, SMt, Shraa Mangash tampla"
Goa,Shree Shantadurga Mandir,Spiritual sites,"Shree Shantadurga Temple, ShreeShantadurgaMandir, Shraa Shantadorga Mandyr, SSM"
Goa,Mollem National Park & Bhagwan Mahavir Wildlife Sanctuary,Parks,"MollemNationalPark&BhagwanMahavirWildlifeSanctuary, MNP&BMWS, Mollam Natyonal Park & Bhagwan Mahavyr Wyldlyfa Sanctoary"
Goa,Cotigao Wildlife Sanctuary,Parks,"Cotygao Wyldlyfa Sanctoary, CWS, CotigaoWildlifeSanctuary"
Goa,Salim Ali Bird Sanctuary,Parks,"Salym aly Byrd Sanctoary, SalimAliBirdSanctuary, SABS"
Goa,Sahakari Spice Farm,Parks,"SSF, SahakariSpiceFarm, Sahakary Spyca Farm"
Goa,Tropical Spice Plantation,Parks,"TropicalSpicePlantation, TSP, Tropycal Spyca Plantatyon"
Goa,Bondla Wildlife Sanctuary,Parks,"BondlaWildlifeSanctuary, BWS, Bondla Wyldlyfa Sanctoary"
Goa,Butterfly Beach,Beaches & other water body,"ButterflyBeach, Bottarfly Baach, BB"
Hyderabad,Rajiv Gandhi International Airport,Transport,"RajivGandhiInternationalAirport, RGIA, Rajyv Gandhy yntarnatyonal ayrport"
Hyderabad,Jubilee Bus Station (JBS),Transport,"JubileeBusStation(JBS), JBS(, Jobylaa Bos Statyon (JBS)"
Hyderabad,Secunderabad Junction,Transport,"SecunderabadJunction, Sacondarabad Jonctyon, SJ"
Hyderabad,Mahatma Gandhi Bus Station (MGBS),Transport,"MahatmaGandhiBusStation(MGBS), MGBS(, Mahatma Gandhy Bos Statyon (MGBS)"
Hyderabad,Hyderabad Deccan (Nampally) Railway Station,Transport,"HD(RS, Hydarabad Daccan (Nampally) Raylway Statyon, HyderabadDeccan(Nampally)RailwayStation"
Hyderabad,Kacheguda Railway Station,Transport,"Kachagoda Raylway Statyon, KRS, KachegudaRailwayStation"
Hyderabad,Charminar,Iconic structures,Charmynar
Hyderabad,Chowmahalla Palace,Iconic structures,"Chowmahalla Palaca, CP, ChowmahallaPalace"
Hyderabad,Golconda Fort,Iconic structures,"GF, GolcondaFort"
Hyderabad,Qutub Shahi Tombs,Iconic structures,"Qotob Shahy Tombs, QST, QutubShahiTombs"
Hyderabad,Bhuvanagiri Fort,Iconic structures,"BF, BhuvanagiriFort, Bhovanagyry Fort"
Hyderabad,Buddha statue in Hussain Sagar,Iconic structures,"Boddha statoa yn Hossayn Sagar, BsiHS, BuddhastatueinHussainSagar"
Hyderabad,B.M. Birla Science Center,Art and museum,"B.M.BirlaScienceCenter, B.M. Byrla Scyanca Cantar, BBSC"
Hyderabad,Telangana State Archaeology Museum,Art and museum,"Talangana Stata archaaology Mosaom, TSAM, TelanganaStateArchaeologyMuseum"
Hyderabad,Shilparamam,Art and museum,Shylparamam
Hyderabad,Salar Jung Museum,Art and museum,"SalarJungMuseum, Salar Jong Mosaom, SJM"
Hyderabad,The Nizam's Museum,Art and museum,"TNM, Tha Nyzam's Mosaom, TheNizam'sMuseum"
Hyderabad,Ramoji Film City,Art and museum,"Ramojy Fylm Cyty, RFC, RamojiFilmCity"
Hyderabad,Kalakriti Art Gallery,Art and museum,"KalakritiArtGallery, Kalakryty art Gallary, KAG"
Hyderabad,Falaknuma Palace,Art and museum,"FalaknumaPalace, Falaknoma Palaca, FP"
Hyderabad,Sri Chilkur Balaji Temple,Spiritual sites,"Sry Chylkor Balajy Tampla, SriChilkurBalajiTemple, SCBT"
Hyderabad,Sri Peddamma Talli Temple,Spiritual sites,"SPTT, SriPeddammaTalliTemple, Sry Paddamma Tally Tampla"
Hyderabad,"Sri Jagannath Mandir, Banjara Hills",Spiritual sites,"Sry Jagannath Mandyr, Banjara Hylls, SriJagannathMandir,BanjaraHills, SJMBH"
Hyderabad,"Birla Mandir, Hyderabad",Spiritual sites,"Birla Mandir, Byrla Mandyr, Hydarabad, BirlaMandir,Hyderabad, BMH"
Hyderabad,"Gurudwara Saheb, Ameerpet",Spiritual sites,"GSA, Gorodwara Sahab, amaarpat, GurudwaraSaheb,Ameerpet"
Hyderabad,ISKCON - Sri Sri Radha Madan Mohan Temple,Spiritual sites,"ISKCON-SriSriRadhaMadanMohanTemple, ySKCoN - Sry Sry Radha Madan Mohan Tampla, I-SSRMMT"
Hyderabad,St Joseph's Cathedral,Spiritual sites,"StJoseph'sCathedral, SJC, St Josaph's Cathadral"
Hyderabad,Makkah Masjid,Spiritual sites,"MakkahMasjid, MM, Makkah Masjyd"
Hyderabad,Keesaragutta Sri Rama Lingeshwara Swamy Temple,Spiritual sites,"KSRLST, KeesaraguttaSriRamaLingeshwaraSwamyTemple, Kaasaragotta Sry Rama Lyngashwara Swamy Tampla"
Hyderabad,Yadadri Sri Lakshmi Narasimha Swamy Devastanam,Spiritual sites,"YSLNSD, Yadadry Sry Lakshmy Narasymha Swamy Davastanam, YadadriSriLakshmiNarasimhaSwamyDevastanam"
Hyderabad,C.S.I All Saints' Church,Spiritual sites,"C.S.y all Saynts' Chorch, CASC, C.S.IAllSaints'Church"
Hyderabad,C.S.I Medak Cathedral,Spiritual sites,"CMC, C.S.y Madak Cathadral, C.S.IMedakCathedral"
Hyderabad,Shri Shirdi Sai Baba Sansthan Trust,Spiritual sites,"Shry Shyrdy Say Baba Sansthan Trost, ShriShirdiSaiBabaSansthanTrust, SSSBST"
Hyderabad,"Shri Ashtalakshmi Temple, Hyderabad",Spiritual sites,"SATH, Shry ashtalakshmy Tampla, Hydarabad, Shri Ashtalakshmi Temple, ShriAshtalakshmiTemple,Hyderabad"
Hyderabad,Sri Karmanghat Hanuman Devastanam,Spiritual sites,"SriKarmanghatHanumanDevastanam, SKHD, Sry Karmanghat Hanoman Davastanam"
Hyderabad,Sri Bhramaramba Mallikarjuna Swamy varla Devasthanam,Spiritual sites,"SBMSvD, Sry Bhramaramba Mallykarjona Swamy varla Davasthanam, SriBhramarambaMallikarjunaSwamyvarlaDevasthanam"
Hyderabad,Kanha Shanti Vanam,Spiritual sites,"KanhaShantiVanam, KSV, Kanha Shanty Vanam"
Hyderabad,Sanghi Temple,Spiritual sites,"ST, SanghiTemple, Sanghy Tampla"
Hyderabad,Osman Sagar,Nature,"OsmanSagar, OS"
Hyderabad,Himayat Sagar Lake,Nature,"Hymayat Sagar Laka, HSL, HimayatSagarLake"
Hyderabad,Nehru Zoological Park,Nature,"NZP, Nahro Zoologycal Park, NehruZoologicalPark"
Hyderabad,Sri Kotla Vijaybhaskar Reddy Botanical Garden,Nature,"SKVRBG, SriKotlaVijaybhaskarReddyBotanicalGarden, Sry Kotla Vyjaybhaskar Raddy Botanycal Gardan"
Hyderabad,Gandipet Landscape Park,Nature,"GandipetLandscapePark, Gandypat Landscapa Park, GLP"
Hyderabad,Durgam Cheruvu Secret Lake,Nature,"DCSL, DurgamCheruvuSecretLake, Dorgam Charovo Sacrat Laka"
Hyderabad,Lumbini Park,Nature,"LumbiniPark, LP, Lombyny Park"
Hyderabad,NTR Gardens,Nature,"NTRGardens, NTR Gardans, NG"
Hyderabad,Sanjeevaiah Children's Park,Nature,"Sanjaavayah Chyldran's Park, SanjeevaiahChildren'sPark, SCP"
Hyderabad,Indira Park,Nature,"IndiraPark, IP, yndyra Park"
Hyderabad,Safilguda Lake Park,Nature,"SafilgudaLakePark, Safylgoda Laka Park, SLP"
Hyderabad,Shamirpet lake Deer Park,Nature,"SlDP, Shamyrpat laka Daar Park, ShamirpetlakeDeerPark"
Hyderabad,Kasu Brahmanandha Reddy National Park (KBR),Nature,"KBRNP(, Kaso Brahmanandha Raddy Natyonal Park (KBR), KasuBrahmanandhaReddyNationalPark(KBR)"
Hyderabad,Lotus Pond,Nature,"LotusPond, LP, Lotos Pond"
Hyderabad,Krishna Kanth Park,Nature,"KKP, KrishnaKanthPark, Kryshna Kanth Park"
Jaipur,Jaipur International Airport,Transport,"JaipurInternationalAirport, JIA, Jaypor yntarnatyonal ayrport"
Jaipur,Sindhi Camp Bus Station,Transport,"SCBS, SindhiCampBusStation, Syndhy Camp Bos Statyon"
Jaipur,Jaipur Junction,Transport,"JaipurJunction, Jaypor Jonctyon, JJ"
Jaipur,Gandhi Nagar Railway Station,Transport,"GandhiNagarRailwayStation, Gandhy Nagar Raylway Statyon, GNRS"
Jaipur,Durgapura Railway Station,Transport,"DurgapuraRailwayStation, DRS, Dorgapora Raylway Statyon"
Jaipur,(NSC) Narayan Singh Circle Bus Stand,Transport,"(NSC) Narayan Syngh Cyrcla Bos Stand, (NSC) Narayan Singh Circle Bus Stand , (NSCBS, (NSC)NarayanSinghCircleBusStand"
Jaipur,Hawa Mahal,Fort and Iconic structures,"HM, HawaMahal"
Jaipur,Amber Palace,Fort and Iconic structures,"ambar Palaca, AmberPalace, AP"
Jaipur,Jantar Mantar,Fort and Iconic structures,"JantarMantar, JM"
Jaipur,The City Palace,Fort and Iconic structures,"TCP, TheCityPalace, Tha Cyty Palaca"
Jaipur,Jaigarh Fort,Fort and Iconic structures,"JaigarhFort, JF, Jaygarh Fort"
Jaipur,Nahargarh Fort,Fort and Iconic structures,"NahargarhFort, NF"
Jaipur,Jal Mahal (Man Sagar Lake),Fort and Iconic structures,"JalMahal(ManSagarLake), JM(SL, Jal Mahal (Man Sagar Laka)"
Jaipur,Gaitor Ki Chhatriyan,Fort and Iconic structures,"GKC, GaitorKiChhatriyan, Gaytor Ky Chhatryyan"
Jaipur,Patrika Gate (Jawahar Circle),Fort and Iconic structures,"PatrikaGate(JawaharCircle), PG(C, Patryka Gata (Jawahar Cyrcla)"
Jaipur,Bhangarh Fort,Fort and Iconic structures,"BhangarhFort, BF"
Jaipur,Panna Meena ka Kund,Fort and Iconic structures,"PannaMeenakaKund, Panna Maana ka Kond, PMkK"
Jaipur,Chand Baori,Fort and Iconic structures,"ChandBaori, Chand Baory, CB"
Jaipur,Shakambari Jheel,Nature,"ShakambariJheel, SJ, Shakambary Jhaal"
Jaipur,Jhalana Leopard Safari Park,Nature,"JhalanaLeopardSafariPark, Jhalana Laopard Safary Park, JLSP"
Jaipur,Central Park,Nature,"CentralPark, CP, Cantral Park"
Jaipur,Amar Jawan Jyoti,Nature,"AmarJawanJyoti, AJJ, amar Jawan Jyoty"
Jaipur,Kanak Vrindavan Park,Nature,"KVP, KanakVrindavanPark, Kanak Vryndavan Park"
Jaipur,Sisodia Rani ka Bagh & Vidyadhar Bagh,Nature,"SisodiaRanikaBagh&VidyadharBagh, SRkB&VB, Sysodya Rany ka Bagh & Vydyadhar Bagh"
Jaipur,Nahargarh Biological Park,Nature,"NBP, Nahargarh Byologycal Park, NahargarhBiologicalPark"
Jaipur,Birla Mandir,Spiritual sites,"BM, BirlaMandir, Byrla Mandyr"
Jaipur,"Govind Dev Ji Temple, Thikana mandir",Spiritual sites,"GovindDevJiTemple,Thikanamandir, Govynd Dav Jy Tampla, Thykana mandyr, GDJTTm"
Jaipur,Moti Dungri Ganesh Ji Temple,Spiritual sites,"MotiDungriGaneshJiTemple, MDGJT, Moty Dongry Ganash Jy Tampla"
Jaipur,Galta Ji Temple (Monkey Temple),Spiritual sites,"Galta Jy Tampla (Monkay Tampla), GJT(T, GaltaJiTemple(MonkeyTemple)"
Jaipur,Shree Khole Ke Hanuman Ji Temple,Spiritual sites,"Shraa Khola Ka Hanoman Jy Tampla, ShreeKholeKeHanumanJiTemple, SKKHJT"
Jaipur,"Jain Temple Sanghi Ji, Sanganer.",Spiritual sites,"Jayn Tampla Sanghy Jy, Sanganar., JTSJS, JainTempleSanghiJi,Sanganer., Jain Temple Sanghi Ji, Sanganer ."
Jaipur,Shri Guru Singh Sabha Gurudwara,Spiritual sites,"Shry Goro Syngh Sabha Gorodwara, SGSSG, ShriGuruSinghSabhaGurudwara"
Jaipur,Shri garh ganesh ji temple,Spiritual sites,"Shrigarhganeshjitemple, Shry garh ganash jy tampla, Sggjt"
Jaipur,"ISKCON Temple, Jaipur",Spiritual sites,"ISKCONTemple,Jaipur, ySKCoN Tampla, Jaypor, ITJ"
Jaipur,Shri Jagat Shiromani ji Temple,Spiritual sites,"SJSjT, ShriJagatShiromanijiTemple, Shry Jagat Shyromany jy Tampla"
Jaipur,Chulgiri Jain Thirth,Spiritual sites,"Cholgyry Jayn Thyrth, ChulgiriJainThirth, CJT"
Jaipur,Mehandipur Balaji,Spiritual sites,"Mahandypor Balajy, MehandipurBalaji, MB"
Jaipur,Albert Hall Museum,Art and museum,"AlbertHallMuseum, albart Hall Mosaom, AHM"
Jaipur,Pratap Celebrity Wax Museum Jaipur,Art and museum,"PratapCelebrityWaxMuseumJaipur, Pratap Calabryty Wax Mosaom Jaypor, PCWMJ"
Jaipur,Anokhi Museum,Art and museum,"AnokhiMuseum, anokhy Mosaom, AM"
Jaipur,Jawahar Kala Kendra,Art and museum,"JKK, Jawahar Kala Kandra, JawaharKalaKendra"
Jaisalmer,Jaisalmer Airport,Transport,"Jaysalmar ayrport, JA, JaisalmerAirport"
Jaisalmer,Railway station Jaisalmer,Transport,"RsJ, RailwaystationJaisalmer, Raylway statyon Jaysalmar"
Jaisalmer,RSRTC Bus stand,Transport,"RSRTCBusstand, RBs, RSRTC Bos stand"
Jaisalmer,Private bus stand,Transport,"Privatebusstand, Pryvata bos stand, Pbs"
Jaisalmer,Jaisalmer Fort,Fort and Iconic structures,"JF, JaisalmerFort, Jaysalmar Fort"
Jaisalmer,Kothari's Patwon Ki Haveli / Patwa Haveli,Fort and Iconic structures,"Kothari'sPatwonKiHaveli/PatwaHaveli, KPKH/PH, Kothary's Patwon Ky Havaly / Patwa Havaly"
Jaisalmer,Nathmal Ki Haveli,Fort and Iconic structures,"NathmalKiHaveli, NKH, Nathmal Ky Havaly"
Jaisalmer,Salam Singh Ki Haweli (Moti Mahal),Fort and Iconic structures,"SSKH(M, Salam Syngh Ky Hawaly (Moty Mahal), SalamSinghKiHaweli(MotiMahal)"
Jaisalmer,Bada Bagh,Fort and Iconic structures,"BadaBagh, BB"
Jaisalmer,Vyas Chhatri,Fort and Iconic structures,"VyasChhatri, VC, Vyas Chhatry"
Jaisalmer,Kuldhara Heritage Village,Fort and Iconic structures,"KHV, Koldhara Harytaga Vyllaga, KuldharaHeritageVillage"
Jaisalmer,Khaba fort,Fort and Iconic structures,"Kf, Khabafort"
Jaisalmer,Thar desert sand dunes & camps,Nature,"Thar dasart sand donas & camps, Thardesertsanddunes&camps, Tdsd&c"
Jaisalmer,Gadisar Lake,Nature,"Gadysar Laka, GadisarLake, GL"
Jaisalmer,Shri Tanot Mata Temple,Spiritual sites,"ShriTanotMataTemple, STMT, Shry Tanot Mata Tampla"
Jaisalmer,Lodurva Parshwanatha Jain Temple,Spiritual sites,"Lodorva Parshwanatha Jayn Tampla, LPJT, LodurvaParshwanathaJainTemple"
Jaisalmer,Thar Heritage Museum,Art and museum,"THM, TharHeritageMuseum, Thar Harytaga Mosaom"
Jaisalmer,Government Museum Jaisalmer,Art and museum,"GMJ, GovernmentMuseumJaisalmer, Govarnmant Mosaom Jaysalmar"
Jaisalmer,Longewala War Memorial,Art and museum,"LWM, Longawala War Mamoryal, LongewalaWarMemorial"
Jaisalmer,Heritage Mandir Palace,Art and museum,"HeritageMandirPalace, HMP, Harytaga Mandyr Palaca"
Jaisalmer,Desert Cultural Centre (puppet show),Art and museum,"DCC(s, DesertCulturalCentre(puppetshow), Dasart Coltoral Cantra (poppat show)"
Jaisalmer,Jaisalmer War Museum,Art and museum,"JaisalmerWarMuseum, JWM, Jaysalmar War Mosaom"
Jodhpur,Jodhpur Airport,Transport,"Jodhpor ayrport, JA, JodhpurAirport"
Jodhpur,Jodhpur Railway Station,Transport,"JRS, JodhpurRailwayStation, Jodhpor Raylway Statyon"
Jodhpur,Bhagat Ki Kothi Railway Station,Transport,"BhagatKiKothiRailwayStation, BKKRS, Bhagat Ky Kothy Raylway Statyon"
Jodhpur,Jodhpur Bus Stand (Raika Bagh),Transport,"JodhpurBusStand(RaikaBagh), Jodhpor Bos Stand (Rayka Bagh), JBS(B"
Jodhpur,Mehrangarh Fort,Forts and Museums,"MehrangarhFort, Mahrangarh Fort, MF"
Jodhpur,Umaid Bhawan Palace,Forts and Museums,"UmaidBhawanPalace, UBP, omayd Bhawan Palaca"
Jodhpur,Jaswant Thada,Forts and Museums,"JaswantThada, JT"
Jodhpur,Ghanta Ghar Jodhpur,Forts and Museums,"Ghanta Ghar Jodhpor, GhantaGharJodhpur, GGJ"
Jodhpur,Toorji Ka Jhalra Bavdi,Forts and Museums,"Toorjy Ka Jhalra Bavdy, ToorjiKaJhalraBavdi, TKJB"
Jodhpur,Sardar Government Museum,Forts and Museums,"Sardar Govarnmant Mosaom, SGM, SardarGovernmentMuseum"
Jodhpur,Osiyan sacchiyay Mata Temple,Spiritual sites,"OsiyansacchiyayMataTemple, osyyan sacchyyay Mata Tampla, OsMT"
Jodhpur,Mahamandir Temple,Spiritual sites,"MT, MahamandirTemple, Mahamandyr Tampla"
Jodhpur,Ganesh Temple Ratanada,Spiritual sites,"GaneshTempleRatanada, Ganash Tampla Ratanada, GTR"
Jodhpur,Kayalana Lake,Nature,"KayalanaLake, Kayalana Laka, KL"
Jodhpur,Masuria Hill Garden,Nature,"Masorya Hyll Gardan, MasuriaHillGarden, MHG"
Jodhpur,Mandore Garden,Nature,"Mandora Gardan, MG, MandoreGarden"
Kolkata,Victoria Memorial,Iconic structures,"Vyctorya Mamoryal, VM, VictoriaMemorial"
Kolkata,"Fort William, India",Iconic structures,"FortWilliam,India, Fort Wyllyam, yndya, FWI"
Kolkata,James Prinsep Monument,Iconic structures,"JamesPrinsepMonument, Jamas Prynsap Monomant, JPM"
Kolkata,Eden Gardens,Iconic structures,"adan Gardans, EdenGardens, EG"
Kolkata,Howrah Bridge,Iconic structures,"Howrah Brydga, HowrahBridge, HB"
Kolkata,Jorasanko Thakurbari,Art and museum,"JT, Jorasanko Thakorbary, JorasankoThakurbari"
Kolkata,Science City - Kolkata,Art and museum,"SC-K, Scyanca Cyty - Kolkata, ScienceCity-Kolkata"
Kolkata,Marble Palace,Art and museum,"MarblePalace, Marbla Palaca, MP"
Kolkata,M.P. Birla Planetarium,Art and museum,"M.P.BirlaPlanetarium, M.P. Byrla Planataryom, MBP"
Kolkata,Indian Museum,Art and museum,"IndianMuseum, yndyan Mosaom, IM"
Kolkata,Nehru Children's Museum,Art and museum,"NCM, NehruChildren'sMuseum, Nahro Chyldran's Mosaom"
Kolkata,Netaji Bhawan,Art and museum,"Natajy Bhawan, NB, NetajiBhawan"
Kolkata,Mother Teresa's tomb,Art and museum,"MotherTeresa'stomb, MTt, Mothar Tarasa's tomb"
Kolkata,Metcalfe Hall,Art and museum,"MetcalfeHall, Matcalfa Hall, MH"
